,Unnamed: 0,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수,EPS,PER,BPS,PBR,ROA,주당배당금,배당수익률,종목수익률,Unnamed: 22,Unnamed: 23,종목명.1
806,123690,104700,한국철강,"35,350",250,0.7,"35,100","37,150","35,100","27,560","986,315,100","325,573,500,000",0.02,"9,210,000","1,639",10.04,"3,139",5.24,0.522140809,0,0,7.62195122,,,
807,123700,105560,KB금융,"40,250",700,1.8,"38,850","40,250","38,700","1,990,471","79,687,053,164","15,550,655,643,250",1.18,"386,351,693","1,002",7.13,"8,750",0.82,0.114514286,200,2.8,-0.867161716,,,
808,126560,105630,한세실업,"36,650",-600,-1.6,"36,850","38,050","36,550","127,876","4,739,905,750","1,466,000,000,000",0.11,"40,000,000",408,11.15,"5,014",0.91,0.081372158,40,0.88,-0.765814696,,,
811,129260,108670,LG하우시스,"156,000","2,500",1.6,"152,500","157,000","152,500","29,828","4,636,494,500","1,398,956,520,000",0.11,"8,967,670",-,-,"5,950",0.69,0,75,1.84,18.54887218,,,
815,134790,111770,영원무역,"60,500","-1,000",-1.6,"61,000","61,700","59,900","107,988","6,546,610,000","2,680,843,814,000",0.2,"44,311,468",56,238.39,"10,905",1.22,0.005135259,0,0,45.36015326,,,
817,138040,114090,GKL,"41,500","-1,350",-3.2,"42,500","43,450","40,850","377,709","15,776,127,000","2,567,010,305,000",0.19,"61,855,670",971,14.62,"9,543",1.49,0.101749974,85,0.6,40.5,,,
818,138250,115390,락앤락,"11,450",200,1.8,"11,300","11,650","11,200","190,500","2,181,106,450","629,750,000,000",0.05,"55,000,000","21,060",11.16,"80,015",2.94,0.26320065,"1,000",0.43,-0.46744186,,,
824,145210,120110,코오롱인더,"66,700",400,0.6,"66,500","67,000","64,800","138,442","9,164,022,500","1,674,463,480,000",0.13,"25,104,400","1,761",7.58,"13,797",0.97,0.127636443,0,0,1.169105691,,,
832,170900,128940,한미약품,"412,000","-19,000",-4.4,"423,000","434,500","400,500","626,178","259,187,384,500","4,215,134,508,000",0.32,"10,230,909","4,966",31.72,"63,370",2.49,0.078365157,750,0.48,1077.534031,,,
843,200880,138930,BNK금융지주,"15,700",-200,-1.3,"15,750","15,950","15,600","819,228","12,882,525,500","3,679,764,414,300",0.28,"234,379,899",-,-,"18,847",0.89,0,150,0.89,-0.142076503,,,
846,213500,139480,이마트,"246,500","2,500",1,"241,500","251,000","241,500","63,832","15,824,578,000","6,871,389,383,500",0.52,"27,875,819",-,-,-,-,0,0,0,53.65631929,,,
852,,145990,삼양사,"132,000","3,000",2.3,"130,500","132,000","127,000","28,355","3,669,920,500","810,033,708,000",0.06,"6,136,619",,,,,,,,19.85308057,,,
860,,161390,한국타이어,"43,850","1,450",3.4,"41,700","44,000","41,700","608,166","26,476,293,080","5,431,921,775,650",0.41,"123,875,069",,,,,,,,2.045138889,,,
861,,161890,한국콜마,"94,900",-300,-0.3,"96,000","99,500","94,900","177,432","17,199,331,700","2,002,404,329,900",0.15,"21,100,151",,,,,,,,7.473214286,,,
864,,170900,동아에스티,"157,500","-3,500",-2.2,"161,500","163,000","156,500","51,252","8,159,685,000","1,213,054,920,000",0.09,"7,701,936",,,,,,,,33.80662983,,,
871,,185750,종근당,"85,600","-2,900",-3.3,"89,500","91,500","85,600","172,460","15,127,200,000","805,414,680,000",0.06,"9,409,050",,,,,,,,31.54752852,,,
875,,192820,코스맥스,"193,000",0,0,"200,500","204,500","191,000","142,809","28,070,439,500","1,736,905,237,000",0.13,"8,999,509",,,,,,,,48.55070603,,,
